Public Title of Study,Acne vulgaris,Acute hepatitis,Acute lymphoid leukemia,Acute myeloid leukemia,Age-related and other hearing loss,Age-related macular degeneration,Alcohol use disorders,Alcoholic cardiomyopathy,Alzheimer's disease and other dementias,Anorexia nervosa,Anxiety disorders,Appendicitis,Asbestosis,Ascariasis,Asthma,Atopic dermatitis,Atrial fibrillation and flutter,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bacterial skin diseases,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Blindness and vision loss,Brain and central nervous system cancer,Breast cancer,Bulimia nervosa,Cannabis use disorders,Cardiomyopathy and myocarditis,Cardiovascular diseases,Cataract,Cellulitis,Cervical cancer,Chagas disease,Chlamydial infection,Chronic kidney disease,Chronic lymphoid leukemia,Chronic myeloid leukemia,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Cocaine use disorders,Colon and rectum cancer,Conduct disorder,Conflict and terrorism,Congenital birth defects,Congenital heart anomalies,Congenital musculoskeletal and limb anomalies,Contact dermatitis,Cutaneous and mucocutaneous leishmaniasis,Cyclist road injuries,Cystic echinococcosis,Cysticercosis,Decubitus ulcer,Dengue,Depressive disorders,Dermatitis,Diabetes and kidney diseases,Diabetes mellitus,Diarrheal diseases,Dietary iron deficiency,Digestive congenital anomalies,Digestive diseases,Diphtheria,Down syndrome,Drowning,Drug use disorders,Dysthymia,Eating disorders,Ebola,Ectopic pregnancy,Edentulism and severe tooth loss,Encephalitis,Endocarditis,"Endocrine, metabolic, blood, and immune disorders",Endometriosis,Enteric infections,Environmental heat and cold exposure,Esophageal cancer,Executions and police conflict,Exposure to forces of nature,Exposure to mechanical forces,Falls,Female infertility,"Fire, heat, and hot substances",Food-borne trematodiases,Foreign body,Foreign body in eyes,Foreign body in other body part,Fungal skin diseases,G6PD deficiency,G6PD trait,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Gastroesophageal reflux disease,Genital herpes,Genital prolapse,Glaucoma,Gonococcal infection,Gout,Guinea worm disease,Gynecological diseases,Headache disorders,Hemoglobinopathies and hemolytic anemias,Hemolytic disease and other neonatal jaundice,HIV/AIDS,Hodgkin lymphoma,Hookworm disease,Hypertensive heart disease,Idiopathic developmental intellectual disability,Idiopathic epilepsy,Inflammatory bowel disease,"Inguinal, femoral, and abdominal hernia",Interpersonal violence,Interstitial lung disease and pulmonary sarcoidosis,Intestinal nematode infections,Intracerebral hemorrhage,Invasive Non-typhoidal Salmonella (iNTS),Iodine deficiency,Ischemic heart disease,Ischemic stroke,Kidney cancer,Klinefelter syndrome,Larynx cancer,Leishmaniasis,Leprosy,Leukemia,Lip and oral cavity cancer,Liver cancer,Low back pain,Lymphatic filariasis,Major depressive disorder,Malaria,Male infertility,Malignant skin melanoma,Maternal abortion and miscarriage,Maternal and neonatal disorders,Maternal disorders,Maternal hemorrhage,Maternal hypertensive disorders,Maternal obstructed labor and uterine rupture,Maternal sepsis and other maternal infections,Measles,Meningitis,Mental disorders,Mesothelioma,Migraine,Motor neuron disease,Motor vehicle road injuries,Motorcyclist road injuries,Multiple myeloma,Multiple sclerosis,Musculoskeletal disorders,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Myocarditis,Nasopharynx cancer,Near vision loss,Neck pain,Neglected tropical diseases and malaria,Neonatal disorders,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal preterm birth,Neonatal sepsis and other neonatal infections,Neoplasms,Neural tube defects,Neurological disorders,Non-Hodgkin lymphoma,Non-melanoma skin cancer,Non-melanoma skin cancer (basal-cell carcinoma),Non-melanoma skin cancer (squamous-cell carcinoma),Non-rheumatic calcific aortic valve disease,Non-rheumatic degenerative mitral valve disease,Non-rheumatic valvular heart disease,Non-venomous animal contact,Nutritional deficiencies,Onchocerciasis,Opioid use disorders,Oral disorders,Orofacial clefts,Osteoarthritis,Otitis media,Ovarian cancer,Pancreatic cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson's disease,Pedestrian road injuries,Peptic ulcer disease,Periodontal diseases,Peripheral artery disease,Pneumoconiosis,Poisonings,Polycystic ovarian syndrome,Premenstrual syndrome,Prostate cancer,Protein-energy malnutrition,Pruritus,Psoriasis,Pulmonary aspiration and foreign body in airway,Pyoderma,Rabies,Refraction disorders,Respiratory infections,Rheumatic heart disease,Rheumatoid arthritis,Road injuries,Scabies,Schistosomiasis,Schizophrenia,Seborrhoeic dermatitis,Sense organ diseases,Sexually transmitted infections excluding HIV,Sickle cell disorders,Sickle cell trait,Silicosis,Skin and subcutaneous diseases,Stomach cancer,Stroke,Subarachnoid hemorrhage,Substance use disorders,Syphilis,Tension-type headache,Testicular cancer,Tetanus,Thalassemias,Thalassemias trait,Thyroid cancer,"Tracheal, bronchus, and lung cancer",Trachoma,Transport injuries,Trichomoniasis,Trichuriasis,Tuberculosis,Turner syndrome,Typhoid and paratyphoid,Unintentional firearm injuries,Unintentional injuries,Upper digestive system diseases,Urinary diseases and male infertility,Urinary tract infections,Urogenital congenital anomalies,Urolithiasis,Urticaria,Uterine cancer,Uterine fibroids,Varicella and herpes zoster,Vascular intestinal disorders,Venomous animal contact,Viral skin diseases,Visceral leishmaniasis,Vitamin A deficiency,Whooping cough,Yellow fever,Zika virus
A study to find out the Effect of weakness and disability on outcomes after surgery in patients undergoing Major Abdominal Surgeries In a Tertiary Cancer Institute,46,60,35,32,41,44,33,38,44,50,41,42,42,40,50,41,39,38,36,43,32,44,64,32,41,69,47,41,50,43,50,40,67,50,50,45,32,33,35,36,36,43,61,44,45,42,38,27,44,39,48,33,46,40,50,40,40,43,47,44,43,37,39,40,38,75,39,33,44,40,41,34,42,33,43,40,44,39,59,37,43,38,40,50,32,42,50,55,42,40,33,40,34,44,33,25,43,38,50,45,75,32,41,39,38,32,38,31,31,35,46,37,35,57,41,37,27,42,29,41,36,40,62,45,62,38,43,38,62,67,46,30,32,43,50,30,52,31,33,47,42,44,36,57,40,38,42,38,45,37,38,38,33,26,34,55,50,38,56,36,39,32,41,29,62,42,32,35,33,38,35,40,36,36,41,46,44,40,36,44,50,58,64,53,50,43,47,50,35,35,36,42,40,33,33,60,31,38,33,45,38,50,45,41,35,40,54,57,27,31,31,40,33,38,35,44,33,64,33,35,43,50,38,53,57,32,39,57,42,50,44,37,33,42,53,43,40,50,39,49,42,29,33,56,57,44,48,45,35,37,41,35,50,33,40
Study of beautyfying effect of ayurvedic face wash and cream,38,33,33,29,41,22,29,29,33,38,35,33,31,31,67,41,35,32,40,27,32,31,36,28,36,46,27,32,33,35,50,30,47,29,45,32,36,33,32,36,33,33,39,38,36,50,31,20,33,27,33,33,24,40,33,35,30,36,35,33,26,30,33,30,31,38,33,50,56,40,29,34,42,50,30,31,39,31,35,50,39,30,40,39,39,36,29,28,26,40,33,40,38,31,29,35,29,38,38,40,50,42,32,33,32,36,46,25,32,38,29,37,35,24,27,31,33,33,21,35,36,33,31,35,31,23,29,38,35,42,38,25,32,15,38,30,22,29,17,26,29,31,36,29,30,25,33,38,35,26,35,31,28,24,37,36,33,31,44,38,17,34,27,34,33,37,23,25,42,8,31,26,23,22,37,38,22,35,29,44,36,42,36,41,42,40,37,46,30,30,33,21,30,33,38,47,26,38,24,28,25,33,35,36,39,20,38,17,28,31,27,35,42,30,35,22,43,43,33,33,39,33,33,41,43,25,22,36,36,38,33,29,35,29,40,43,37,32,29,35,42,29,33,44,36,38,44,26,39,42,23,35,36,42,30
"International, multi-centre study on comparing management and outcomes of children born with congenital diseases between Low-­, Middle-­ and High‘Income Countries.",46,47,39,36,44,50,52,42,46,50,53,33,50,30,50,35,35,42,48,65,36,38,50,36,46,31,40,45,30,57,50,50,47,64,45,55,40,42,46,50,55,43,43,56,45,62,65,51,50,41,38,43,38,33,33,45,50,57,41,61,43,63,67,40,38,50,44,50,50,40,41,38,42,42,39,46,56,50,41,40,36,45,40,56,32,46,42,40,39,65,33,40,44,36,50,39,64,62,50,40,75,68,64,44,40,42,62,44,56,50,44,47,50,35,55,47,53,46,34,47,64,40,46,35,38,38,29,50,38,42,62,40,40,57,50,48,45,48,50,47,48,38,44,71,40,44,42,38,50,37,38,44,44,36,24,36,39,50,56,36,44,43,41,42,44,32,41,45,42,38,35,49,43,50,44,54,43,40,43,38,36,50,43,47,42,43,58,46,45,50,52,43,40,30,43,40,44,38,44,43,38,67,45,36,52,30,54,43,40,46,36,55,44,43,47,33,50,50,33,39,43,38,48,41,43,29,20,50,39,50,44,50,50,29,53,39,57,68,48,49,38,61,50,44,57,44,41,55,48,58,41,40,36,33,50
Comparison between intraperitoneal ropivacaine alone and with Dexmedetomidine in laproscopic cholecystectomy,46,46,35,30,38,34,38,50,33,38,41,42,40,40,40,47,39,40,36,35,46,50,36,36,38,46,40,36,40,30,25,40,48,43,40,45,44,42,34,38,41,43,52,44,45,42,38,33,50,32,38,52,54,33,50,35,40,36,41,33,39,37,33,50,46,38,39,44,50,40,53,38,42,42,39,46,41,39,41,40,29,34,40,44,39,42,50,40,42,30,33,50,28,31,42,39,50,56,50,37,25,37,32,44,35,35,50,38,32,38,35,39,35,36,59,47,57,50,37,41,41,47,43,35,38,31,71,50,41,55,40,40,36,57,50,43,39,39,44,37,35,32,40,43,40,50,42,62,35,37,38,44,33,36,31,64,43,44,56,41,44,29,45,36,33,37,41,35,33,29,27,31,38,31,37,50,50,45,43,44,36,42,43,44,43,48,53,42,40,50,44,36,50,44,38,43,48,50,44,40,50,50,45,32,26,55,38,57,40,54,36,40,36,33,47,44,43,50,50,30,39,38,48,44,43,29,44,58,39,38,56,43,42,33,31,35,50,59,42,41,54,35,32,44,43,44,37,52,39,53,27,40,43,33,40
Midazolam at end of the surgery - does it prevent emergence agitation?,31,40,39,41,38,44,43,29,38,38,41,50,30,30,50,41,35,38,36,43,25,44,36,24,39,38,40,32,40,35,38,40,40,36,35,41,36,38,30,36,30,38,43,50,36,38,42,24,44,24,33,24,23,40,50,50,40,36,35,28,39,43,33,35,38,25,39,40,44,60,35,45,50,50,41,31,39,55,35,37,36,36,20,39,45,46,33,45,29,35,40,40,31,25,38,29,43,44,38,30,50,37,36,47,26,31,38,25,31,35,36,39,31,30,41,27,33,15,39,41,41,40,38,35,38,23,43,38,38,42,46,30,48,43,44,26,39,38,39,19,35,31,36,43,40,38,42,38,35,37,38,25,28,26,26,36,33,31,44,36,40,27,45,31,44,49,32,25,33,31,29,28,34,28,37,50,36,35,36,31,36,50,36,35,42,31,37,38,45,35,40,29,30,33,50,41,41,38,22,34,25,33,30,41,22,40,31,43,40,38,45,45,31,41,41,22,33,43,33,39,39,31,43,41,29,40,29,43,34,50,33,43,25,33,37,36,33,32,39,30,38,45,36,33,43,31,37,34,43,32,23,40,29,42,30
Comparison of different methods to assess the Anterior Chamber Depth of the eye (The depth of the front portion of the eye).,46,47,39,45,41,38,43,33,44,38,41,33,50,50,33,41,35,40,36,48,29,50,50,36,33,46,40,41,33,35,38,30,47,43,35,36,32,33,35,36,33,48,48,44,41,42,35,33,33,27,33,29,38,27,50,45,40,36,41,39,43,40,44,40,46,38,44,33,50,40,29,38,33,33,41,46,39,36,47,37,43,38,20,39,39,38,50,45,52,40,40,30,41,33,33,32,43,38,50,45,25,37,41,44,35,40,38,31,31,42,33,37,35,35,45,23,43,33,32,41,36,40,46,40,46,38,43,38,42,42,46,40,40,57,50,35,38,35,39,37,42,24,33,43,40,50,42,38,35,30,31,38,33,28,28,45,50,44,44,38,44,30,41,31,44,32,36,30,46,36,31,33,34,28,37,38,29,40,43,44,36,42,57,47,42,31,53,38,40,40,40,43,50,37,38,47,37,25,44,32,25,50,45,36,39,37,38,43,33,38,36,40,31,38,29,44,37,50,33,32,35,38,38,47,43,50,44,43,33,62,33,50,58,58,40,35,23,27,35,43,38,32,33,33,50,31,37,31,35,37,41,35,43,42,30
Effect of Ayurveda Medication in Pain,38,40,30,36,34,35,29,38,28,38,29,50,30,30,17,35,38,35,32,35,34,31,29,36,30,38,33,22,39,32,38,30,40,36,55,24,16,17,30,15,16,38,35,38,36,29,24,24,39,27,38,34,31,40,33,25,40,38,35,29,35,27,35,40,31,38,29,33,38,40,35,25,42,50,38,46,61,25,45,50,36,48,20,44,42,31,43,35,39,44,47,38,26,29,29,21,21,31,38,40,25,34,32,29,32,33,36,31,31,29,38,42,42,30,37,35,38,29,33,47,41,40,38,25,38,31,15,38,34,33,62,30,28,31,38,49,33,35,35,32,26,32,32,43,50,31,42,50,33,29,30,31,28,29,32,45,31,44,67,42,29,35,32,32,44,53,27,35,46,41,38,34,41,35,33,38,33,39,43,47,36,58,57,45,42,38,46,31,33,39,33,43,40,33,24,41,50,25,31,38,33,33,39,50,26,32,31,43,33,38,32,39,38,31,35,33,40,43,33,19,31,29,43,32,33,25,30,43,24,25,28,36,33,25,29,32,39,37,26,35,53,29,25,44,43,31,30,34,30,47,24,51,50,25,40
"Evaluation of low cost, customized orthoses for improvement of upper limb function in children with congenital hemiparesis",46,53,43,41,35,44,44,38,41,38,29,45,50,50,33,47,39,35,40,39,46,44,23,36,28,46,33,36,33,30,25,50,33,36,50,38,44,42,41,35,43,43,43,44,45,67,54,47,44,32,33,43,38,40,50,45,40,36,41,39,39,57,33,40,38,50,28,44,44,40,41,44,50,42,35,46,50,50,35,47,32,34,40,44,39,42,50,45,45,45,33,40,34,28,46,32,64,62,38,50,50,42,41,39,42,27,50,38,38,42,29,37,38,41,35,33,40,38,42,35,41,40,33,22,31,46,43,50,29,35,46,45,44,43,38,35,42,32,33,37,36,38,40,43,60,50,50,50,40,30,22,38,39,24,31,45,33,50,44,27,50,30,45,40,44,37,32,40,29,36,33,29,36,31,41,42,57,35,29,38,43,42,32,41,42,50,42,33,40,51,48,43,40,30,48,33,44,50,56,43,50,50,50,50,35,36,38,43,47,46,32,35,40,33,41,44,37,43,50,26,30,38,38,35,43,50,50,43,36,38,28,50,33,42,40,37,37,34,35,35,46,52,42,33,33,50,41,34,48,42,41,35,33,42,40
Efficacy and safety of tadalafil in men with lower urinary tract symptoms associated with enlarged prostate.,46,47,48,32,35,34,33,38,36,44,47,50,40,50,33,35,42,38,36,45,39,50,36,40,44,46,40,36,38,39,62,30,40,29,40,36,36,29,32,32,33,38,43,44,36,36,35,33,44,32,38,33,31,33,33,40,40,43,47,33,61,37,39,40,38,38,39,44,44,60,35,41,33,50,39,38,39,39,47,40,32,34,40,44,36,38,33,35,42,35,53,50,38,36,34,42,43,50,38,30,25,47,41,39,33,40,38,44,31,31,33,39,35,38,32,35,30,42,37,53,41,33,38,45,46,31,57,25,38,33,38,33,36,57,44,39,42,35,33,26,29,38,36,43,30,50,42,38,35,41,38,31,33,40,34,36,33,38,44,44,39,34,31,29,44,37,36,35,38,31,31,33,28,33,41,38,36,45,43,38,44,42,36,41,42,31,37,38,45,40,39,29,30,41,43,67,41,38,44,45,50,33,45,32,39,38,38,43,40,31,32,30,40,38,41,33,37,43,50,35,43,50,38,35,29,42,56,43,36,50,39,36,58,33,40,43,43,36,35,43,62,42,42,44,43,50,41,38,43,37,32,45,36,42,30
Comparison of two methods of doing heart scan through food pipe to that done through chest wall to assess the function of right side of the heart in adult and paediatric patients undergoing cardiac surgeries.,38,33,35,45,38,31,33,38,36,31,24,33,20,20,33,35,35,20,32,43,29,31,36,36,38,15,40,23,37,26,12,29,40,7,25,23,32,33,24,18,33,29,39,25,27,25,35,27,33,29,43,24,31,33,17,25,30,29,35,39,26,43,28,20,46,38,33,44,38,20,29,31,33,25,41,38,28,36,35,33,11,34,67,28,29,25,17,30,23,35,33,30,41,36,42,26,29,34,38,25,0,37,36,33,42,36,38,31,31,15,27,21,23,41,24,31,27,25,32,29,36,20,23,30,31,46,14,25,42,33,38,18,36,57,31,35,48,30,39,37,23,33,29,43,30,44,33,38,20,19,27,25,28,33,25,45,28,31,22,38,39,32,23,29,33,26,32,35,38,33,29,28,26,33,37,33,36,35,43,31,14,33,36,29,8,38,32,17,30,35,24,29,40,41,24,33,44,12,33,34,12,17,30,18,39,20,31,14,27,23,23,25,24,33,19,22,37,57,0,22,26,25,24,29,14,33,44,36,39,50,22,36,25,25,27,30,30,32,29,43,17,32,42,22,36,25,44,32,26,37,27,30,29,42,30
Translation of lysholm knee scoring scale in Gujarati version in Knee ligaments injury .,46,33,39,32,39,38,38,38,38,44,41,42,40,40,33,35,46,35,36,30,25,38,36,44,40,38,41,33,26,33,50,30,33,36,35,36,36,22,29,25,24,38,35,32,36,33,37,38,44,37,43,39,54,40,33,35,50,22,41,28,39,38,34,40,38,50,33,44,50,40,35,44,33,33,22,38,44,28,37,38,36,34,40,44,31,42,42,30,42,35,33,50,34,39,29,32,43,38,38,40,50,37,45,33,35,35,50,50,38,33,33,26,35,30,42,29,40,38,35,35,32,40,46,40,38,31,43,38,35,50,38,40,29,29,38,43,37,34,40,37,28,29,33,57,50,38,42,50,40,37,38,32,44,32,25,36,33,56,44,41,47,27,36,29,33,37,36,50,43,38,38,32,30,31,41,42,50,44,46,44,36,33,50,29,50,27,42,43,40,40,36,29,40,42,34,33,51,38,44,42,38,50,50,41,26,30,54,71,33,38,32,45,35,43,53,46,37,43,33,39,35,25,38,40,57,42,44,37,42,50,50,44,33,42,40,35,40,36,26,38,39,33,33,22,43,44,40,34,45,47,36,38,36,38,30
Comparison between 0.5% Ropivacaine and in combination with Dexmedetomidine for ultrasound guided Supraclavicular brachial plexus block for upper limb surgery.,38,33,30,32,36,50,38,46,44,38,35,45,30,40,40,41,42,40,40,39,36,56,36,44,38,46,40,41,34,48,50,40,40,29,60,32,32,29,27,39,38,38,48,44,45,38,42,33,40,34,43,38,46,33,50,40,40,43,41,33,39,33,33,40,38,38,39,29,50,40,47,44,33,42,39,46,44,42,35,47,36,38,40,39,29,38,42,45,39,30,33,40,38,39,38,26,29,38,50,50,50,42,36,44,42,31,38,44,38,32,35,32,35,41,41,33,40,42,39,41,32,40,38,40,46,31,43,38,42,35,46,30,36,43,31,48,42,35,39,42,35,36,36,43,40,50,42,62,40,41,38,44,39,36,25,45,39,38,56,31,40,30,36,31,33,42,36,40,29,31,16,28,28,33,56,38,50,45,50,50,36,42,36,41,42,45,53,46,40,43,48,29,50,33,33,53,44,50,33,38,50,50,35,41,35,55,46,71,47,38,32,40,33,38,41,33,40,57,50,43,39,38,43,47,43,29,33,43,42,62,50,29,33,33,40,39,33,32,39,38,46,32,42,44,36,44,37,41,52,42,36,40,43,36,50
Parents of the children with any dental health related issues use the internet as the major source of information .This reliability on the internet highly influences the parents decision making when various treatment procedures are explained to them.,54,40,39,41,32,41,19,29,33,38,35,33,20,20,33,35,45,32,24,26,29,50,36,40,41,31,33,45,37,30,12,30,20,36,25,41,28,29,30,36,31,14,39,19,32,33,38,42,28,29,38,33,15,40,17,35,30,36,41,33,30,37,33,30,31,25,28,22,44,40,29,41,33,33,35,23,17,47,41,40,32,31,0,28,39,38,42,35,32,55,27,30,41,33,29,32,36,25,25,50,25,37,32,39,38,33,38,31,31,31,27,32,31,19,32,33,27,33,29,29,32,40,46,35,38,23,14,25,31,25,31,35,32,14,25,35,33,32,28,16,32,33,36,14,40,44,25,38,25,30,27,19,11,32,29,36,44,38,33,33,33,36,36,38,11,37,27,40,33,27,21,37,27,31,37,29,21,25,29,19,36,33,50,24,25,33,47,38,25,40,36,29,20,31,29,20,41,25,11,40,38,50,30,36,30,30,23,43,27,38,36,35,42,38,24,11,33,29,33,26,22,25,33,12,14,17,11,36,36,25,28,14,17,17,27,48,33,36,26,35,29,32,33,11,21,31,44,41,39,32,23,35,43,42,50
Effect of positive fluid balance on postoperative complications after living donor liver transplantation: A retrospective analysis,46,53,35,36,38,38,38,42,41,38,35,50,40,50,33,53,39,50,52,43,43,36,43,32,33,46,40,45,37,39,50,40,60,36,45,27,20,21,43,39,36,52,52,44,45,46,42,36,39,34,48,38,38,47,33,50,40,36,29,33,39,43,44,40,38,50,44,44,50,60,47,35,50,42,28,46,44,42,47,50,39,34,60,44,29,42,33,45,23,35,33,40,28,33,50,32,36,44,50,45,50,37,45,33,40,36,62,31,44,42,30,26,43,35,50,33,40,33,34,29,41,47,46,35,46,54,57,38,46,58,38,45,48,43,31,43,33,39,44,47,35,27,38,43,40,38,42,50,40,33,42,38,50,40,29,55,33,50,44,33,39,36,36,40,44,47,32,40,42,33,35,35,45,33,42,42,43,40,43,44,50,50,50,59,50,38,47,46,45,35,40,50,40,41,33,53,44,38,44,40,38,67,45,45,39,40,38,43,40,38,41,45,38,38,41,44,33,57,67,35,39,38,43,41,57,42,44,50,36,50,51,50,50,58,40,31,37,41,42,32,50,35,42,44,43,44,33,34,41,37,45,35,29,42,30
Comparison of different methods of canine movement.,54,47,30,32,35,38,43,29,37,44,47,33,30,50,33,41,39,35,44,39,25,50,36,44,49,38,33,45,40,43,38,30,53,50,30,45,36,46,35,39,40,52,48,44,36,38,46,33,39,29,33,33,38,27,50,45,40,36,53,39,39,47,39,40,38,38,44,33,44,40,35,47,42,33,30,54,38,44,41,43,50,42,20,33,39,38,50,40,29,30,33,20,31,25,34,19,43,44,50,40,25,37,32,44,28,27,50,38,44,38,31,37,38,32,50,30,37,29,32,35,36,33,46,40,46,31,43,38,27,33,46,40,44,57,50,39,39,35,50,26,39,27,35,43,40,56,50,50,49,37,35,38,39,40,32,45,44,44,56,33,50,22,36,35,56,32,41,41,46,31,29,33,34,31,44,33,29,40,43,40,36,42,57,41,42,26,58,38,30,35,32,43,60,37,41,40,48,50,33,30,38,50,50,41,39,45,46,57,27,38,36,35,27,33,35,44,33,50,50,29,35,38,33,35,43,42,33,50,27,50,33,43,25,33,33,39,30,32,35,38,33,45,25,44,43,38,37,31,39,32,36,35,29,50,40
Infant Nutrition Study - Happy Tummy,46,47,27,33,23,33,27,29,29,44,35,42,20,30,33,47,46,29,44,30,26,25,29,28,38,24,40,27,29,29,38,50,27,29,45,34,32,37,31,34,29,32,48,26,36,33,31,26,44,28,38,24,15,33,33,14,50,24,35,15,30,29,24,30,46,25,23,47,31,20,29,28,42,50,15,46,44,32,29,40,32,28,40,39,34,36,33,29,22,35,20,30,18,28,42,23,36,31,25,40,50,37,20,15,26,26,25,38,25,31,26,42,31,24,32,38,41,29,38,29,27,33,31,35,23,31,29,25,35,33,31,30,18,29,44,43,39,29,23,32,15,26,38,20,40,19,25,38,45,30,35,31,28,18,29,45,28,44,33,28,28,42,41,38,22,42,27,35,33,33,35,35,35,32,35,50,21,30,18,25,50,50,43,29,50,39,37,38,30,40,32,29,40,35,36,33,52,50,33,44,38,33,30,45,30,46,38,14,27,8,29,35,47,24,24,11,36,37,33,26,35,25,43,35,43,25,39,36,31,38,39,43,33,27,38,31,37,41,22,38,45,29,50,44,57,44,31,28,35,21,23,30,29,17,20
"To prevent discomfort and swelling in neck region after operation under general anaesthesia, inhalation of drug ketamine and ketamine combined with clonidine is given before giving anaesthesia.",46,47,39,45,41,47,43,34,49,50,59,35,60,50,50,50,32,47,40,43,39,50,43,44,41,46,40,50,37,35,25,50,33,43,40,50,44,46,35,43,38,57,57,56,41,42,42,44,44,37,38,33,38,35,33,45,56,36,41,44,39,43,39,50,46,50,67,56,50,40,47,34,50,45,46,38,44,36,47,40,43,38,40,44,43,33,50,45,45,35,26,40,34,39,42,32,50,44,38,45,50,47,41,39,38,47,38,38,38,38,35,42,38,46,45,38,43,46,45,41,45,53,46,40,46,31,29,50,46,58,54,40,36,57,38,30,36,45,39,32,42,38,42,43,50,50,58,50,45,37,42,38,39,40,32,36,50,44,56,41,40,36,41,39,44,47,41,40,42,38,38,33,47,39,37,42,36,40,50,38,37,42,43,47,42,43,42,42,40,40,36,50,40,33,48,47,48,40,33,47,50,50,40,41,39,45,46,43,33,46,40,50,47,48,41,33,43,50,50,39,39,38,43,53,57,42,50,43,43,50,39,43,33,58,40,43,43,45,35,41,50,42,42,33,43,50,41,41,35,42,32,50,36,50,50
Balance training in Incomplete Spinal cord Injury patients,46,53,30,32,41,38,38,46,32,44,41,42,30,40,50,41,36,41,40,43,39,44,50,40,41,54,32,32,37,35,50,30,53,29,44,36,28,29,32,32,26,29,52,31,41,33,38,33,39,31,52,33,46,40,40,30,50,39,41,29,43,41,39,30,54,62,28,33,44,60,29,31,42,42,37,38,50,39,41,37,36,38,40,44,32,33,35,45,45,50,40,50,34,39,46,32,43,50,38,44,40,42,36,33,35,36,43,44,31,35,29,47,31,40,45,39,43,31,38,41,36,33,62,35,54,33,29,50,38,58,54,30,32,43,44,35,42,35,39,42,32,36,39,43,50,38,25,50,40,48,46,44,39,32,36,45,44,50,56,36,44,34,41,36,33,47,36,45,42,42,27,30,41,33,41,46,43,35,36,44,29,42,57,47,50,45,47,46,35,45,40,43,53,33,38,47,38,50,44,30,25,50,40,45,39,40,54,57,33,38,41,30,44,52,59,22,39,43,33,36,35,50,38,47,57,33,44,50,30,38,61,45,40,33,40,39,50,59,29,41,38,40,42,44,57,31,28,41,39,53,36,40,36,25,40
"A clinical trial to study the effects of two drugs, iGlarLixi versus premixed insulin in patients with type 2 diabetes mellitus whose diabetes condition is uncontrolled with basal insulin and oral anti-diabetic agents.",38,47,35,36,38,34,29,25,38,50,29,42,20,20,33,41,32,20,36,30,36,25,14,44,41,23,33,27,33,17,25,30,20,43,25,27,28,38,27,32,26,29,30,25,41,33,38,31,28,29,33,29,23,27,33,35,30,32,65,17,35,40,33,40,38,25,28,44,31,0,35,38,33,33,28,31,44,29,18,30,36,31,20,39,29,21,33,45,32,35,27,40,25,31,42,32,36,38,25,30,50,37,27,28,32,36,38,31,31,38,33,37,38,27,36,33,37,25,47,35,32,40,31,30,23,38,29,12,35,50,46,45,24,43,38,35,27,39,28,26,35,31,42,43,50,38,42,25,30,37,42,31,28,40,32,36,22,31,44,31,22,32,36,36,33,53,27,25,29,27,23,37,28,33,41,33,36,30,14,44,50,42,21,35,50,36,32,33,35,30,36,36,30,16,48,40,33,50,22,28,25,17,45,45,30,30,15,14,33,31,27,35,36,29,35,22,27,29,17,30,30,25,52,24,29,25,33,36,36,25,44,29,25,17,33,39,43,27,30,41,42,42,33,22,29,31,37,28,43,32,41,30,36,42,50
TO SEE THE EFFECTS OF LOW BODY TEMPERATURE AND DURATION OF HEART-LUNG BYPASS ON OXYGEN SUPPLY OF BRAIN AS SHOWN BY A SPECIAL MONITOR-NIRS,38,47,35,41,47,47,38,33,41,40,35,33,40,50,33,41,42,32,36,39,46,44,29,40,44,38,33,41,40,30,38,40,33,36,30,36,32,30,35,39,33,38,39,38,41,42,50,27,44,41,43,33,31,40,50,35,50,46,35,39,39,37,39,40,46,38,39,33,44,40,29,41,42,33,30,38,39,44,35,33,51,43,60,39,50,38,67,45,48,45,33,50,41,36,38,35,43,50,25,40,50,39,41,44,32,33,38,38,44,35,40,37,31,38,29,43,40,21,32,35,41,36,38,35,38,38,33,38,38,33,54,40,30,29,38,26,36,32,33,37,39,44,42,43,50,38,45,62,50,41,42,44,33,28,35,45,44,44,44,33,39,38,32,38,33,58,32,40,33,27,33,30,34,39,30,42,50,45,50,44,36,50,30,41,50,38,42,38,40,45,44,50,40,37,43,33,41,38,44,38,50,50,45,41,39,39,38,29,33,31,45,45,36,38,41,33,40,37,33,26,35,38,39,35,43,33,44,46,45,38,35,43,33,35,33,43,33,36,42,32,46,35,33,44,37,44,37,34,35,53,36,40,29,50,40
